"","INDEX","X2000","X2087","change","EEZID"
"665",103818,18,11,-7,945
"666",103819,18,9,-9,945
"667",103820,18,7,-11,945
"668",103821,17,7,-10,945
"669",103822,17,7,-10,945
"670",103823,16,7,-9,945
"671",103824,17,7,-10,945
"672",103825,18,7,-11,945
"673",103826,19,7,-12,945
"674",103827,18,7,-11,945
"675",103828,19,7,-12,945
"676",103829,19,7,-12,945
"677",103830,19,7,-12,945
"678",103831,20,7,-13,945
"679",103832,20,7,-13,945
"680",103833,21,7,-14,945
"681",103834,25,11,-14,945
"682",103835,60,35,-25,945
"683",103836,84,61,-23,945
"684",103837,84,61,-23,945
"685",103838,77,52,-25,945
"686",104524,12,18,6,945
"687",104525,13,18,5,945
"688",104526,14,18,4,945
"689",104527,14,17,3,945
"690",104528,15,17,2,945
"691",104529,15,17,2,945
"692",104530,15,17,2,945
"693",104531,15,17,2,945
"694",104532,15,17,2,945
"695",104533,15,18,3,945
"696",104534,16,18,2,945
"697",104535,15,17,2,945
"698",104536,15,12,-3,945
"699",104537,15,11,-4,945
"700",104538,16,9,-7,945
"701",104539,15,7,-8,945
"702",104540,16,7,-9,945
"703",104541,15,7,-8,945
"704",104542,15,7,-8,945
"705",104543,14,7,-7,945
"706",104544,15,7,-8,945
"707",104545,18,7,-11,945
"708",104546,18,7,-11,945
"709",104547,19,7,-12,945
"710",104548,20,7,-13,945
"711",104549,20,7,-13,945
"712",104550,20,7,-13,945
"713",104551,20,7,-13,945
"714",104552,20,7,-13,945
"715",104553,19,7,-12,945
"716",104554,19,7,-12,945
"717",104555,20,7,-13,945
"718",104556,22,9,-13,945
"719",104557,25,12,-13,945
"720",104558,83,64,-19,945
"721",104559,80,61,-19,945
"722",104560,77,60,-17,945
"723",105245,14,17,3,945
"724",105246,14,17,3,945
"725",105247,14,17,3,945
"726",105248,14,17,3,945
"727",105249,14,17,3,945
"728",105250,15,17,2,945
"729",105251,15,17,2,945
"730",105252,15,17,2,945
"731",105253,14,17,3,945
"732",105254,15,15,0,945
"733",105255,15,11,-4,945
"734",105256,15,11,-4,945
"735",105257,15,8,-7,945
"736",105258,14,7,-7,945
"737",105259,14,7,-7,945
"738",105260,14,7,-7,945
"739",105261,14,7,-7,945
"740",105262,14,7,-7,945
"741",105263,13,7,-6,945
"742",105264,15,7,-8,945
"743",105265,17,7,-10,945
"744",105266,18,7,-11,945
"745",105267,18,7,-11,945
"746",105268,19,7,-12,945
"747",105269,19,7,-12,945
"748",105270,19,7,-12,945
"749",105271,18,7,-11,945
"750",105272,18,7,-11,945
"751",105273,18,7,-11,945
"752",105274,18,7,-11,945
"753",105275,18,7,-11,945
"754",105276,18,7,-11,945
"755",105277,19,7,-12,945
"756",105278,20,8,-12,945
"757",105279,25,11,-14,945
"758",105280,83,65,-18,945
"759",105281,83,67,-16,945
"760",105282,83,66,-17,945
"761",105283,76,61,-15,945
"762",105965,14,17,3,945
"763",105966,14,17,3,945
"764",105967,14,17,3,945
"765",105968,14,17,3,945
"766",105969,14,17,3,945
"767",105970,14,17,3,945
"768",105971,14,15,1,945
"769",105972,14,10,-4,945
"770",105973,14,10,-4,945
"771",105974,15,10,-5,945
"772",105975,15,10,-5,945
"773",105976,15,8,-7,945
"774",105977,14,7,-7,945
"775",105978,14,7,-7,945
"776",105979,13,7,-6,945
"777",105980,13,7,-6,945
"778",105981,13,7,-6,945
"779",105982,15,8,-7,945
"780",105983,15,8,-7,945
"781",105984,14,7,-7,945
"782",105987,18,7,-11,945
"783",105988,18,7,-11,945
"784",105989,19,7,-12,945
"785",105990,20,7,-13,945
