"","INDEX","X2000","X2087","change","EEZID"
"419",97337,23,20,-3,945
"420",97338,23,20,-3,945
"421",97339,23,21,-2,945
"422",97340,23,21,-2,945
"423",97341,24,21,-3,945
"424",97342,24,21,-3,945
"425",97343,23,21,-2,945
"426",97344,23,21,-2,945
"427",97345,23,21,-2,945
"428",97346,23,21,-2,945
"429",97347,56,49,-7,945
"430",97348,118,113,-5,945
"431",97349,113,109,-4,945
"432",98046,14,19,5,945
"433",98047,19,13,-6,945
"434",98048,20,13,-7,945
"435",98049,21,13,-8,945
"436",98050,21,13,-8,945
"437",98051,22,18,-4,945
"438",98052,23,18,-5,945
"439",98053,23,21,-2,945
"440",98054,23,21,-2,945
"441",98055,23,21,-2,945
"442",98056,24,21,-3,945
"443",98057,23,20,-3,945
"444",98058,23,21,-2,945
"445",98059,23,21,-2,945
"446",98060,23,21,-2,945
"447",98061,23,21,-2,945
"448",98062,23,21,-2,945
"449",98063,23,21,-2,945
"450",98064,23,21,-2,945
"451",98065,23,21,-2,945
"452",98066,23,21,-2,945
"453",98067,106,104,-2,945
"454",98068,105,105,0,945
"455",98069,103,102,-1,945
"456",98070,94,93,-1,945
"457",98767,19,12,-7,945
"458",98768,20,13,-7,945
"459",98769,21,17,-4,945
"460",98770,21,17,-4,945
"461",98771,22,20,-2,945
"462",98772,23,20,-3,945
"463",98773,23,21,-2,945
"464",98774,23,21,-2,945
"465",98775,24,21,-3,945
"466",98776,24,21,-3,945
"467",98777,23,21,-2,945
"468",98778,23,21,-2,945
"469",98779,23,21,-2,945
"470",98780,23,21,-2,945
"471",98781,23,21,-2,945
"472",98782,23,21,-2,945
"473",98783,23,21,-2,945
"474",98784,23,21,-2,945
"475",98785,21,20,-1,945
"476",98786,21,20,-1,945
"477",98787,23,19,-4,945
"478",98788,84,80,-4,945
"479",98789,85,79,-6,945
"480",98790,83,77,-6,945
"481",99486,15,12,-3,945
"482",99487,18,12,-6,945
"483",99488,19,12,-7,945
