"","X","deltachange"
"781",105984,0
"782",105987,0
"783",105988,0
"784",105989,0
"785",105990,0
"786",105991,0
"787",105992,-1.00000000000008
"788",105993,-1.00000000000021
"789",105994,-1.00000000000019
"790",105995,0
"791",105996,0
"792",105997,0
"793",105998,0
"794",105999,0
"795",106000,0
"796",106001,-1.00000000000032
"797",106002,0
"798",106003,-2.0000000000002
"799",106004,-1
"800",106005,0
"801",106010,0
"802",106011,0
"803",106012,0
"804",106686,0
"805",106687,0
"806",106688,0
"807",106689,-1.00000000000035
"808",106690,-1.00000000000027
"809",106691,0
"810",106692,0
"811",106693,0
"812",106694,0
"813",106695,0
"814",106696,0
"815",106697,0
"816",106698,0
"817",106699,0
"818",106700,0
"819",106701,0
"820",106702,0
"821",106703,-1.00000000000029
"822",106709,0
"823",106710,0
"824",106711,0
"825",106712,0
"826",106713,0
"827",106714,0
"828",106715,0
"829",106716,0
"830",106717,0
"831",106718,0
"832",106719,0
"833",106720,0
"834",106721,0
"835",106722,0
"836",106723,0
"837",106724,0
"838",106725,-1.0000000000001
"839",106726,-1.0000000000002
"840",106727,-1.0000000000003
"841",106728,0
"842",106729,0
"843",106730,0
"844",106731,0
"845",106732,-1
"846",106733,0
"847",106734,0
"848",107407,0
"849",107408,-1.00000000000033
"850",107409,-1.00000000000037
"851",107410,-1.00000000000007
"852",107411,0
"853",107412,0
"854",107413,0
"855",107414,-1.00000000000041
"856",107415,0
"857",107417,-1.00000000000011
"858",107418,-1.0000000000004
"859",107419,0
"860",107420,0
"861",107430,-1.00000000000006
"862",107431,-1.00000000000041
"863",107432,0
"864",107433,0
"865",107434,0
"866",107435,0
"867",107436,0
"868",107437,0
"869",107438,0
"870",107439,0
"871",107440,0
"872",107441,0
"873",107442,0
"874",107443,0
"875",107444,0
"876",107445,0
"877",107446,0
"878",107447,0
"879",107448,0
"880",107449,0
"881",107450,-1.00000000000008
"882",107451,-1.0000000000001
"883",107452,0
"884",107453,0
"885",107454,0
"886",107455,0
"887",108152,0
"888",108153,0
"889",108154,0
"890",108155,0
"891",108156,0
"892",108157,0
"893",108158,0
"894",108159,0
"895",108160,0
"896",108161,0
"897",108162,0
"898",108163,0
"899",108164,0
"900",108165,0
"901",108166,0
"902",108167,0
"903",108168,0
"904",108169,0
"905",108170,0
"906",108171,0
"907",108172,0
"908",108173,0
"909",108174,0
"910",108175,0
"911",108176,0
"912",108875,0
"913",108876,0
"914",108877,0
"915",108878,0
"916",108879,-1.00000000000035
"917",108880,0
"918",108881,0
"919",108882,0
"920",108883,0
"921",108884,0
"922",108885,0
"923",108886,0
"924",108887,0
"925",108888,0
"926",108889,0
"927",108890,0
"928",108891,0
"929",108892,0
"930",108893,0
"931",108894,0
"932",108895,0
"933",108896,0
"934",109597,0
"935",109598,0
"936",109599,0
"937",109600,0
"938",109601,0
"939",109602,0
"940",109603,0
"941",109604,0
"942",109605,0
"943",109606,0
"944",109607,-1.0000000000003
"945",109608,0
"946",109609,0
"947",109610,0
"948",109611,0
"949",109612,0
"950",109613,0
"951",109614,0
"952",109615,0
"953",110319,0
"954",110320,0
"955",110321,0
"956",110322,0
"957",110323,-1.00000000000027
"958",110324,-1.00000000000012
"959",110325,-1.00000000000045
"960",110326,0
"961",110327,0
"962",110328,0
"963",110329,0
"964",110330,0
"965",110331,0
"966",110332,0
"967",110333,0
"968",110334,0
"969",111042,0
"970",111043,0
"971",111044,0
"972",111045,0
"973",111046,0
"974",111047,0
"975",111048,0
"976",111049,0
"977",111050,0
"978",111051,0
"979",111052,0
"980",111053,0
"981",111765,0
"982",111766,0
"983",111767,0
"984",111768,0
"985",111769,0
"986",111770,0
"987",111771,0
"988",111772,0
